Degrees_C,Wind_Speed,TotalCount,date_month,date_day,date_hour,date_dayofweek
14,6.0,28.0,6,28,23,6
14,7.0,60.0,6,28,22,6
14,5.0,108.0,6,28,21,6
12,4.0,104.0,6,28,20,6
14,8.0,114.0,6,28,19,6
15,8.0,153.0,6,28,18,6
17,9.0,323.0,6,28,17,6
17,9.0,599.0,6,28,16,6
17,9.0,736.0,6,28,15,6
17,11.0,849.0,6,28,14,6
17,9.0,807.0,6,28,13,6
17,11.0,750.0,6,28,12,6
17,11.0,618.0,6,28,11,6
16,11.0,335.0,6,28,10,6
16,9.0,123.0,6,28,9,6
16,10.0,59.0,6,28,8,6
14,9.0,32.0,6,28,7,6
13,9.0,19.0,6,28,6,6
12,8.0,17.0,6,28,5,6
12,6.0,52.0,6,28,4,6
12,5.0,93.0,6,28,3,6
12,7.0,102.0,6,28,2,6
13,5.0,153.0,6,28,1,6
14,6.0,214.0,6,28,0,6
13,7.0,301.0,6,27,23,5
14,5.0,392.0,6,27,22,5
14,6.0,339.0,6,27,21,5
16,5.0,439.0,6,27,20,5
16,6.0,440.0,6,27,19,5
20,9.0,512.0,6,27,18,5
21,7.0,744.0,6,27,17,5
21,6.0,906.0,6,27,16,5
21,5.0,890.0,6,27,15,5
19,5.0,896.0,6,27,14,5
20,5.0,811.0,6,27,13,5
19,5.0,744.0,6,27,12,5
18,5.0,819.0,6,27,11,5
18,5.0,665.0,6,27,10,5
16,4.0,345.0,6,27,9,5
16,4.0,132.0,6,27,8,5
16,4.0,61.0,6,27,7,5
16,7.0,34.0,6,27,6,5
16,4.0,22.0,6,27,5,5
16,3.0,29.0,6,27,4,5
16,2.0,62.0,6,27,3,5
17,2.0,75.0,6,27,2,5
18,2.0,100.0,6,27,1,5
13,6.0,120.0,6,27,0,5
19,1.0,190.0,6,26,23,4
20,1.0,205.0,6,26,22,4
21,1.0,237.0,6,26,21,4
22,3.0,255.0,6,26,20,4
23,3.0,295.0,6,26,19,4
24,3.0,377.0,6,26,18,4
24,4.0,630.0,6,26,17,4
28,3.0,805.0,6,26,16,4
28,3.0,714.0,6,26,15,4
28,2.0,642.0,6,26,14,4
26,2.0,685.0,6,26,13,4
25,2.0,648.0,6,26,12,4
23,2.0,670.0,6,26,11,4
22,2.0,435.0,6,26,10,4
23,3.0,330.0,6,26,9,4
20,2.0,169.0,6,26,8,4
18,1.0,101.0,6,26,7,4
15,1.0,80.0,6,26,6,4
13,2.0,26.0,6,26,5,4
12,1.0,46.0,6,26,4,4
12,1.0,25.0,6,26,3,4
12,1.0,50.0,6,26,2,4
13,2.0,46.0,6,26,1,4
18,2.0,71.0,6,26,0,4
13,1.0,86.0,6,25,23,3
14,2.0,105.0,6,25,22,3
15,3.0,132.0,6,25,21,3
18,3.0,182.0,6,25,20,3
20,4.0,247.0,6,25,19,3
21,4.0,363.0,6,25,18,3
21,5.0,589.0,6,25,17,3
22,5.0,711.0,6,25,16,3
22,5.0,601.0,6,25,15,3
24,5.0,636.0,6,25,14,3
24,5.0,784.0,6,25,13,3
24,6.0,674.0,6,25,12,3
24,5.0,717.0,6,25,11,3
24,3.0,524.0,6,25,10,3
22,3.0,324.0,6,25,9,3
20,3.0,241.0,6,25,8,3
18,3.0,106.0,6,25,7,3
15,2.0,57.0,6,25,6,3
13,1.0,32.0,6,25,5,3
12,2.0,32.0,6,25,4,3
12,2.0,53.0,6,25,3,3
12,2.0,44.0,6,25,2,3
12,1.0,59.0,6,25,1,3
13,1.0,60.0,6,25,0,3
13,1.0,112.0,6,24,23,2
14,2.0,153.0,6,24,22,2
16,2.0,169.0,6,24,21,2
19,2.0,206.0,6,24,20,2
21,4.0,205.0,6,24,19,2
24,4.0,334.0,6,24,18,2
25,4.0,689.0,6,24,17,2
26,5.0,889.0,6,24,16,2
26,5.0,964.0,6,24,15,2
27,4.0,1121.0,6,24,14,2
27,4.0,1191.0,6,24,13,2
27,4.0,1135.0,6,24,12,2
26,2.0,796.0,6,24,11,2
25,3.0,620.0,6,24,10,2
23,2.0,423.0,6,24,9,2
21,3.0,291.0,6,24,8,2
20,2.0,163.0,6,24,7,2
17,0.0,86.0,6,24,6,2
15,1.0,24.0,6,24,5,2
14,1.0,20.0,6,24,4,2
13,1.0,15.0,6,24,3,2
13,2.0,21.0,6,24,2,2
14,1.0,27.0,6,24,1,2
13,2.0,29.0,6,24,0,2
16,2.0,56.0,6,23,23,1
17,2.0,78.0,6,23,22,1
18,2.0,121.0,6,23,21,1
19,4.0,180.0,6,23,20,1
23,3.0,160.0,6,23,19,1
25,3.0,283.0,6,23,18,1
25,5.0,522.0,6,23,17,1
25,4.0,725.0,6,23,16,1
25,3.0,844.0,6,23,15,1
24,4.0,915.0,6,23,14,1
24,4.0,1015.0,6,23,13,1
23,5.0,940.0,6,23,12,1
22,5.0,754.0,6,23,11,1
21,4.0,529.0,6,23,10,1
21,3.0,434.0,6,23,9,1
19,4.0,290.0,6,23,8,1
17,5.0,132.0,6,23,7,1
16,5.0,85.0,6,23,6,1
15,4.0,50.0,6,23,5,1
14,3.0,13.0,6,23,4,1
14,3.0,18.0,6,23,3,1
15,3.0,19.0,6,23,2,1
16,2.0,23.0,6,23,1,1
14,1.0,35.0,6,23,0,1
18,4.0,62.0,6,22,23,0
19,4.0,91.0,6,22,22,0
19,2.0,144.0,6,22,21,0
20,3.0,191.0,6,22,20,0
22,3.0,197.0,6,22,19,0
22,6.0,277.0,6,22,18,0
22,4.0,616.0,6,22,17,0
21,5.0,775.0,6,22,16,0
21,5.0,877.0,6,22,15,0
20,5.0,886.0,6,22,14,0
20,5.0,837.0,6,22,13,0
19,6.0,1002.0,6,22,12,0
19,5.0,893.0,6,22,11,0
17,6.0,671.0,6,22,10,0
16,5.0,440.0,6,22,9,0
15,5.0,311.0,6,22,8,0
13,4.0,152.0,6,22,7,0
12,4.0,83.0,6,22,6,0
10,2.0,45.0,6,22,5,0
10,3.0,36.0,6,22,4,0
11,3.0,8.0,6,22,3,0
11,3.0,19.0,6,22,2,0
11,3.0,15.0,6,22,1,0
17,4.0,32.0,6,22,0,0
12,3.0,18.0,6,21,23,6
13,3.0,24.0,6,21,22,6
14,2.0,42.0,6,21,21,6
17,4.0,86.0,6,21,20,6
18,5.0,120.0,6,21,19,6
19,6.0,149.0,6,21,18,6
20,6.0,295.0,6,21,17,6
17,6.0,525.0,6,21,16,6
21,7.0,744.0,6,21,15,6
20,6.0,900.0,6,21,14,6
19,7.0,868.0,6,21,13,6
19,6.0,648.0,6,21,12,6
18,7.0,656.0,6,21,11,6
18,7.0,314.0,6,21,10,6
16,6.0,107.0,6,21,9,6
15,6.0,58.0,6,21,8,6
14,4.0,44.0,6,21,7,6
14,4.0,36.0,6,21,6,6
14,3.0,17.0,6,21,5,6
14,4.0,34.0,6,21,4,6
15,4.0,63.0,6,21,3,6
15,3.0,73.0,6,21,2,6
15,3.0,136.0,6,21,1,6
12,3.0,176.0,6,21,0,6
16,2.0,206.0,6,20,23,5
17,2.0,229.0,6,20,22,5
18,3.0,247.0,6,20,21,5
19,3.0,307.0,6,20,20,5
19,3.0,353.0,6,20,19,5
20,4.0,474.0,6,20,18,5
19,6.0,741.0,6,20,17,5
21,4.0,993.0,6,20,16,5
20,4.0,1086.0,6,20,15,5
20,4.0,984.0,6,20,14,5
19,5.0,890.0,6,20,13,5
19,5.0,906.0,6,20,12,5
19,5.0,805.0,6,20,11,5
18,5.0,633.0,6,20,10,5
17,4.0,309.0,6,20,9,5
15,4.0,116.0,6,20,8,5
14,4.0,70.0,6,20,7,5
13,4.0,35.0,6,20,6,5
12,4.0,21.0,6,20,5,5
12,3.0,23.0,6,20,4,5
12,4.0,69.0,6,20,3,5
12,4.0,54.0,6,20,2,5
12,2.0,82.0,6,20,1,5
16,3.0,111.0,6,20,0,5
12,2.0,87.0,6,19,23,4
14,5.0,110.0,6,19,22,4
14,4.0,112.0,6,19,21,4
14,6.0,140.0,6,19,20,4
15,6.0,156.0,6,19,19,4
15,8.0,196.0,6,19,18,4
16,6.0,341.0,6,19,17,4
17,8.0,436.0,6,19,16,4
15,7.0,376.0,6,19,15,4
18,6.0,358.0,6,19,14,4
18,4.0,466.0,6,19,13,4
16,3.0,451.0,6,19,12,4
18,4.0,374.0,6,19,11,4
17,4.0,302.0,6,19,10,4
16,3.0,207.0,6,19,9,4
16,3.0,104.0,6,19,8,4
14,1.0,65.0,6,19,7,4
12,0.0,48.0,6,19,6,4
11,1.0,21.0,6,19,5,4
11,1.0,14.0,6,19,4,4
12,1.0,16.0,6,19,3,4
12,1.0,25.0,6,19,2,4
12,1.0,19.0,6,19,1,4
12,3.0,32.0,6,19,0,4
14,2.0,43.0,6,18,23,3
